Item ID,Item Name,Category,Brand,Pack Size,Stock Status
1001,Plain Khakhra ,Khakhra,Jaimin,20x200g,IN STOCK
1002,Jeera Khakhra ,Khakhra,Jaimin,20x200g,IN STOCK
1003,Masala Khakhra ,Khakhra,Jaimin,20x200g,IN STOCK
1004,Methi Khakhra ,Khakhra,Jaimin,20x200g,IN STOCK
1005,Soya Stick ,Snacks,Jaimin,12x150g,IN STOCK
1006,Dry Fruit Kachori ,Snacks,Jaimin,12x200g,IN STOCK
1007,Dry Fruit Samosa ,Snacks,Jaimin,12x200g,IN STOCK
1008,Mini Bhakharwadi ,Snacks,Jaimin,12x200g,IN STOCK
1009,Farali Chevda ,Snacks,Jaimin,12x200g,IN STOCK
1010,Roasted Poha Chevda ,Snacks,Jaimin,12x200g,IN STOCK
1011,Bombay Mix ,Snacks,Jaimin,12x200g,IN STOCK
1012,Khatta Mitha ,Snacks,Jaimin,12x200g,IN STOCK
1013,Navratna Mix ,Snacks,Jaimin,12x200g,IN STOCK
1014,Dalmoth ,Snacks,Jaimin,12x200g,IN STOCK
1015,Jeera Puri ,Snacks,Jaimin,12x200g,IN STOCK
1016,Methi Puri ,Snacks,Jaimin,12x200g,IN STOCK
1017,Chat Puri ,Snacks,Jaimin,12x200g,IN STOCK
1018,Salted Boondi ,Snacks,Jaimin,12x200g,IN STOCK
1019,Palak Chakli ,Snacks,Jaimin,12x200g,IN STOCK
1020,Softy Chakli ,Snacks,Jaimin,12x200g,IN STOCK
1021,Sweet Para ,Snacks,Jaimin,12x200g,IN STOCK
1022,Methi Gathiya ,Snacks,Jaimin,12x200g,IN STOCK
1023,Fulwadi ,Snacks,Jaimin,12x200g,IN STOCK
1024,Thin Sev ,Snacks,Jaimin,12x200g,IN STOCK
1025,Chana Dal ,Snacks,Jaimin,12x200g,IN STOCK
1026,Pudina Moong ,Snacks,Jaimin,12x200g,IN STOCK
1027,Sev Mamra ,Snacks,Jaimin,12x200g,IN STOCK
1028,Murukku ,Snacks,Jaimin,12x200g,IN STOCK
1029,Banana Chips Pepper ,Snacks,Jaimin,12x175g,IN STOCK
1030,Banana Chips Masala ,Snacks,Jaimin,12x175g,IN STOCK
1031,Aloo Bhujia ,Snacks,Jaimin,12x200g,IN STOCK
1032,Aloo Bhujia Masala ,Snacks,Jaimin,12x200g,IN STOCK
1033,Puff Bites Mexican Salsa ,Snacks,Jaimin,24x80g,IN STOCK
1034,Puff Bites Mast Masala ,Snacks,Jaimin,24x80g,IN STOCK
1035,Puff Bites Lemon Chilli ,Snacks,Jaimin,24x80g,IN STOCK
1036,Fryums Masala Wheels ,Fryums,Jaimin,24x60g,IN STOCK
1037,Fryums Peri Peri ,Fryums,Jaimin,24x60g,IN STOCK
1038,Salted Chips ,Chips,Jaimin,12x100g,IN STOCK
1039,Masala Chips ,Chips,Jaimin,12x100g,IN STOCK
1040,Mexican chilli,Chips,Jaimin,12x100g,IN STOCK
1041,Tomato,Chips,Jaimin,12x100g,IN STOCK
1042,Jeera Khari ,Bakery,Jaimin,12x200g,IN STOCK
1043,Plain Khari ,Bakery,Jaimin,12x200g,IN STOCK
1044,Masala Twisted Khari ,Bakery,Jaimin,12x200g,IN STOCK
1045,Plain Khakra,Bakery,Jaimin,12x200g,IN STOCK
1046,Jeera Khakra,Bakery,Jaimin,12x200g,IN STOCK
1047,Methi Khakra,Bakery,Jaimin,12x200g,IN STOCK
1048,Masala Khakra,Bakery,Jaimin,12x200g,IN STOCK
1049,Green Chilli Papad ,Papad,Jaimin,20x200g,IN STOCK
1050,Black Pepper Papad ,Papad,Jaimin,20x200g,IN STOCK
1051,Pani Puri Kit ,Pani Puri,Jaimin,12pcs,IN STOCK
1052,Pani Puri ,Pani Puri,Jaimin,45pcs,IN STOCK
1053,Golgappa Fry ,Pani Puri,Jaimin,24x250g,IN STOCK
1054,Mango Pickle ,Pickles,Jaimin,6x400g,IN STOCK
1055,Garlic Pickle ,Pickles,Jaimin,6x400g,IN STOCK
1056,Lemon Pickle ,Pickles,Jaimin,6x400g,IN STOCK
1057,Mixed Pickle ,Pickles,Jaimin,6x400g,IN STOCK
1058,Poha Cup ,Ready Meals,Jaimin,12x100g,IN STOCK
1059,Upma Cup ,Ready Meals,Jaimin,12x90g,IN STOCK
1060,Veg Biryani Cup ,Ready Meals,Jaimin,20x200g,IN STOCK
1061,Dal Khichadi Cup ,Ready Meals,Jaimin,12x70g,IN STOCK
1062,Gujarati Dal Bhat,Ready Meals,Jaimin,20x200g,IN STOCK
1063,Bhaji Pav,Ready Meals,Jaimin,20x200g,IN STOCK
1064,Sabudhana Kichidi,Ready Meals,Jaimin,20x200g,IN STOCK
1065,Plain Roti ,Frozen,Fiesta,10x15x750g,IN STOCK
1066,Wheat Roti,Frozen,Fiesta,10x15x750g,IN STOCK
1067,Methi Roti ,Frozen,Fiesta,10x10x500g,IN STOCK
1068,Besan Roti ,Frozen,Fiesta,10x10x500g,IN STOCK
1069,Gujarati Roti ,Frozen,Fiesta,10x10x500g,IN STOCK
1070,Plain Rumali Roti ,Frozen,Fiesta,10x10x500g,IN STOCK
1071,Wheat Rumali Roti ,Frozen,Fiesta,10x10x500g,IN STOCK
1072,Plain Naan ,Frozen,Fiesta,10x10x500g,IN STOCK
1073,Garlic Naan ,Frozen,Fiesta,10x10x500g,IN STOCK
1074,Krunch Naan ,Frozen,Fiesta,6x12x85g,IN STOCK
1075,Krunch Garlic Naan ,Frozen,Fiesta,6x12x85g,IN STOCK
1076,Krunch Garlic Naan ,Frozen,Fiesta,6x12x85g,IN STOCK
1077,Krunch Whole Wheat Naan ,Frozen,Fiesta,6x12x85g,IN STOCK
1078,Krunch pita,Frozen,Fiesta,9x7x322g,IN STOCK
1079,Crispy Tandoori naan,Frozen,Fiesta,6x12x85g,IN STOCK
1080,Crispy Tandoori Garlic naan,Frozen,Fiesta,6x12x85g,IN STOCK
1081,Vada Pav 12x600g,Frozen,Fiesta,12x600g,IN STOCK
1082,Pav Bhaji 12x600g,Frozen,Fiesta,12x600g,IN STOCK
1083,Kurkure Masala Munch ,Snacks,Fiesta,30x50g,IN STOCK
1084,Kurkure Naughty Tomato ,Snacks,Fiesta,30x50g,IN STOCK
1085,Kurkure Red Chilli Chatka ,Snacks,Fiesta,30x50g,IN STOCK
1086,Kurkure Solid Masti ,Snacks,Fiesta,30x50g,IN STOCK
1087,Kurkure Green Chutney ,Snacks,Fiesta,30x50g,IN STOCK
